"_time",host,User,domain,"subdomain_len",ProcessId,ParentProcessId,"detection_type",DestinationIp,count
"2025-05-25T14:45:05.564+0530",kali,root,"oyn13lo2zusyu56r07evdutg6sf3xkg9xzbfcqk2j7r4qaex2y.attacker.com",50,1219916,2275,LongSubdomainBeacon,,
"2025-05-25T14:45:03.042+0530",kali,root,"v6tkafg5rezeova6anwj43eztdfjozvceuap9bds9anird4rok.attacker.com",50,1219893,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:10.726+0530",kali,root,"k9tiec20hph2enjx4go59v7y4z85sho9kq1lmb8w7dnmk7gsvm.attacker.com",50,1217542,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:09.505+0530",kali,root,"ij42xml0o195xje42ul993v0cl9gg9crzvwg3p1osswaktkylj.attacker.com",50,1217528,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:08.286+0530",kali,root,"dngp3rv1p2rbrpuu5f8q0o45x9e67jr7esbt8zjks5f4w0qpqv.attacker.com",50,1217506,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:07.032+0530",kali,root,"pxq19op4i15gjpdfr1k0morozmlmnmfqi9wgs5h2aw0hrya9zj.attacker.com",50,1217492,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:05.545+0530",kali,root,"r7eh095xfonv56s6opvtmd3nef5v2cf30i2z1cc8p49w7nfyw9.attacker.com",50,1217478,2275,LongSubdomainBeacon,,
"2025-05-25T14:40:03.923+0530",kali,root,"di5dwp93cya6k94csgmgh4abuek4f08i1whphs7mafz1ohlz3s.attacker.com",50,1217456,2275,LongSubdomainBeacon,,
"2025-05-25T14:39:52.530+0530",kali,root,"wfr1pvkiom2ph1qifpm3co9lrgt74no4gc4j1rq5enzk1zsjhp.attacker.com",50,1217362,2275,LongSubdomainBeacon,,
"2025-05-22T09:47:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.11",4
"2025-05-22T09:36:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.7",4
"2025-05-22T09:34:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.7",4
"2025-05-22T09:33:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.7",4
"2025-05-22T09:00:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.22",5
"2025-05-22T08:59:00.000+0530",,,,,,,HighFrequencyOutbound,"192.168.1.22",10
